,Distinction,Home,Index_Rating,School,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,_id,distinction_yes,index_1,index_2,index_3,index_4
0,"['Reading/ELA Distinction', 'Post Secondary Distinction']",http://www.har.com/1411-bayou-st/sale_67562795,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Atherton Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",0,0.0,,,1.0,1.0,1.0,1.0,1.0
1,['Progress Distinction'],http://www.har.com/1411-bayou-st/sale_67562795,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Fleming Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",1,0.0,,,1.0,,1.0,1.0,1.0
2,[],http://www.har.com/1411-bayou-st/sale_67562795,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",2,0.0,,,,,1.0,,
3,"['Reading/ELA Distinction', 'Post Secondary Distinction']",http://www.har.com/1415-bayou-st/sale_47340551,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Atherton Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",3,0.0,,,1.0,1.0,1.0,1.0,1.0
4,['Progress Distinction'],http://www.har.com/1415-bayou-st/sale_47340551,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Fleming Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",4,0.0,,,1.0,,1.0,1.0,1.0
5,[],http://www.har.com/1415-bayou-st/sale_47340551,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",5,0.0,,,,,1.0,,
6,['Science Distinction'],http://www.har.com/443-exchange-st/sale_78583581,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Scroggins Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",6,0.0,,,1.0,1.0,1.0,1.0,1.0
7,"['Math Distinction', 'Progress Distinction']",http://www.har.com/443-exchange-st/sale_78583581,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",7,0.0,,,1.0,,1.0,1.0,1.0
8,[],http://www.har.com/443-exchange-st/sale_78583581,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",8,0.0,,,,,1.0,,
9,"['Reading/ELA Distinction', 'Post Secondary Distinction']",http://www.har.com/1411-bayou-st/sale_67562795,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Atherton Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",9,0.0,,,1.0,1.0,1.0,1.0,1.0
10,['Progress Distinction'],http://www.har.com/1411-bayou-st/sale_67562795,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Fleming Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",10,0.0,,,1.0,,1.0,1.0,1.0
11,[],http://www.har.com/1411-bayou-st/sale_67562795,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",11,0.0,,,,,1.0,,
12,"['Reading/ELA Distinction', 'Post Secondary Distinction']",http://www.har.com/1415-bayou-st/sale_47340551,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Atherton Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",12,0.0,,,1.0,1.0,1.0,1.0,1.0
13,['Progress Distinction'],http://www.har.com/1415-bayou-st/sale_47340551,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Fleming Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",13,0.0,,,1.0,,1.0,1.0,1.0
14,[],http://www.har.com/1415-bayou-st/sale_47340551,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",14,0.0,,,,,1.0,,
15,['Science Distinction'],http://www.har.com/443-exchange-st/sale_78583581,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Scroggins Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",15,0.0,,,1.0,1.0,1.0,1.0,1.0
16,"['Math Distinction', 'Progress Distinction']",http://www.har.com/443-exchange-st/sale_78583581,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",16,0.0,,,1.0,,1.0,1.0,1.0
17,[],http://www.har.com/443-exchange-st/sale_78583581,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",17,0.0,,,,,1.0,,
18,"['Reading/ELA Distinction', 'Post Secondary Distinction']",http://www.har.com/1211-bayou-st/sale_73456666,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Atherton Elementary School Elementary . EE - 05 . HOUSTON ISD
                  
                   
                ",18,0.0,,,1.0,1.0,1.0,1.0,1.0
19,['Progress Distinction'],http://www.har.com/1211-bayou-st/sale_73456666,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Fleming Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",19,0.0,,,1.0,,1.0,1.0,1.0
20,[],http://www.har.com/1211-bayou-st/sale_73456666,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",20,0.0,,,,,1.0,,
21,"['Math Distinction', 'Progress Distinction', 'Science Distinction']",http://www.har.com/4713-vernon-st/sale_42203472,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Henderson N Elementary School Elementary . PK - 05 . HOUSTON ISD
                  
                   
                ",21,0.0,,,1.0,1.0,1.0,1.0,1.0
22,"['Math Distinction', 'Progress Distinction']",http://www.har.com/4713-vernon-st/sale_42203472,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",22,0.0,,,1.0,,1.0,1.0,1.0
23,[],http://www.har.com/4713-vernon-st/sale_42203472,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",23,0.0,,,,,1.0,,
24,"['Math Distinction', 'Progress Distinction', 'Science Distinction']",http://www.har.com/4711-sharon-st/sale_40575824,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Henderson N Elementary School Elementary . PK - 05 . HOUSTON ISD
                  
                   
                ",24,0.0,,,1.0,1.0,1.0,1.0,1.0
25,"['Math Distinction', 'Progress Distinction']",http://www.har.com/4711-sharon-st/sale_40575824,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle . 06 - 08 . HOUSTON ISD
                  
                   
                ",25,0.0,,,1.0,,1.0,1.0,1.0
26,[],http://www.har.com/4711-sharon-st/sale_40575824,['Met Index 2'],"
                  Wheatley High School High . 09 - 12 . HOUSTON ISD
                  
                   
                ",26,0.0,,,,,1.0,,
