,lot_size,Area_Median_Appraised_Value,walk_score,transit_score,bike_score,downtown_dist,grocery_store_count,school_distinction_count,school_index4_count,total_crimes,flood_plain_yes,property_type_sf,property_type_th,maintenance_fee_annual,year_built,tax_rate,building_sqft_clean,stories,hoa_mandatory_yes,ext_wood,ext_synth,ext_stucco,ext_vinyl,ext_brick,ext_asbes,ext_veneer,ext_stone,ext_aluminum,style_geor,style_span,style_medi,style_vict,style_cont,style_french,style_col,style_eng,style_ranch,fnd_blocks,fnd_stilts,fnd_builders,fnd_beam,fnd_pier,backyard_yes,outside_spa,fully_fenced_yes,patiodeck_yes,balcony_yes,private_pool_yes,roof_tile_slate,garage_apt_yes,auto_garage_door_opener,garage_attached,garage_spots,access_gate,double_driveway,bedrooms,bathroom_full,1st Bed_sqft,2nd Bed_sqft,3rd Bed_sqft,Dining_sqft,Kitchen_sqft,Living_sqft,utility_room_in_house,study_room_yes,guest_room_yes,game_room_yes,formal_room_yes,disposal_yes,dishwasher_yes,zoned_cooling_yes,central_cooling_no,zoned_heating_yes,tankless_water_heater,hot_tub_yes,alarm_system_yes,wet_bar_yes,elevator_yes,refrigerator_yes,high_ceilings_yes,fireplace_yes,ctop_quartz,ctop_stone,ctop_marble,ctop_tile,ctop_formica,ctop_laminate,floor_wood,floor_concrete,floor_slate,floor_brick,floor_laminate,floor_marble,floor_stone,floor_carpet,floor_terrazo,floor_vinyl,master_bath_yes,master_double_sinks,master_tub_shower,master_tub_whirlpool,microwave_yes,oven_electric_yes,gas_range_yes,insulated_yes,barrier_yes,thermostat_yes,hvac_yes,turbine_vent_yes,any_oven_yes,any_range_yes,rooftop_access_yes,End_Price,Market Area
0,3000.0,68512.0,,,,,1.0,2.0,3.0,597.6666666666667,0.0,1,0,0.0,2017.0,2.52856,2032.0,2.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,342.0,132.0,132.0,,192.0,224.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,325700,Northwest Houston
1,,,,,,,1.0,,,358.16666666666663,0.0,1,0,2151.0,2017.0,,1539.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,182.0,110.0,110.0,140.0,108.0,182.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,304900,East End Revitalized
2,,,,,,,1.0,2.0,3.0,358.16666666666663,0.0,1,0,2151.0,2017.0,,1539.0,2.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,182.0,110.0,110.0,140.0,108.0,182.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,299900,East End Revitalized
4,1800.0,379679.0,,,,,9.0,3.0,3.0,796.8333333333335,1.0,1,0,700.0,2007.0,2.52856,1967.0,3.0,1.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,238.0,143.0,132.0,342.0,342.0,378.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,399900,Heights/Greater Heights
5,2600.0,328683.0,52.0,42.0,75.0,2.6323501239903178,7.0,,,1200.8333333333335,0.0,1,0,0.0,2008.0,2.52856,2692.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,352.0,195.0,100.0,99.0,99.0,304.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,469900,Heights/Greater Heights
6,2600.0,328683.0,52.0,42.0,75.0,2.6323501239903178,7.0,1.0,3.0,1200.8333333333335,0.0,1,0,0.0,2008.0,2.52856,2692.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,352.0,195.0,100.0,99.0,99.0,304.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,479900,Heights/Greater Heights
7,8400.0,227721.0,60.0,40.0,53.0,10.504093121523583,10.0,1.0,3.0,660.5,0.0,1,0,0.0,1957.0,2.6161,1850.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,4.0,2.0,195.0,195.0,110.0,132.0,216.0,450.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,425000,Spring Branch
8,6000.0,294575.0,69.0,43.0,62.0,3.688533864556286,10.0,3.0,3.0,827.8333333333333,0.0,1,0,0.0,1920.0,2.52856,987.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,1.0,182.0,143.0,,,143.0,224.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,385000,Heights/Greater Heights
9,8136.0,227721.0,57.0,38.0,52.0,10.153845237794224,10.0,1.0,3.0,660.5,0.0,1,0,0.0,1958.0,,1759.0,1.0,0.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,2.0,143.0,99.0,143.0,78.0,126.0,286.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,399900,Spring Branch
10,,,,,,,7.0,,,1200.8333333333335,0.0,1,0,600.0,2016.0,2.66,2551.0,4.0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,3.0,3.0,221.0,156.0,99.0,170.0,195.0,204.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,434995,Washington East/Sabine
