1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Page_Link,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5932f476e2bac83b34e52bdb,Collier,,Initial Record Intry
,12x10,,12x12,,,,,,1411 Bayou St,,,197,355,,,,,,,,,,1 Full  Baths,,2 Bedrooms,,1154,,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Wood,,,,,,,On Stilts,,,,,,,Other,,,,,,494E,,LT 2 BLK 7 SYDNOR,,100000,For Sale,,,Cleared,5000,67562795,,,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,,Electric Oven,http://www.har.com/1411-bayou-st/sale_67562795,,,,,0,No,,Single Family,,,Composition,,68,TX,,1,,Traditional,Sydnor View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Sewer,1930,77020,5932f7b2e2bac83b34e52be0,,,
,12x10,,12x12,,,,,,1415 Bayou St,,,197,355,,,,,,,,,,1 Full  Baths,,2 Bedrooms,,1088,,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Wood,,,,,,,On Stilts,,,,,,,Other,,,,,,494E,,TR 1A BLK 7 SYDNOR,,100000,For Sale,,,Cleared,3000,47340551,,,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,,Electric Oven,http://www.har.com/1415-bayou-st/sale_47340551,,,,,0,No,,Single Family,,Electric Range,Composition,,68,TX,,1,,Traditional,Sydnor View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Water,1920,77020,5932f7b2e2bac83b34e52be1,,,
,12X12,,11X11,,11X9,11X10,,,1907 Benson St,,,173,329,,,,,,,,,,2 Full  Baths,,4 Bedrooms,,1296,,Houston,,Electric Dryer Connections,,Other Cooling,,Harris County,77020,,,,,,,"Vinyl, Wood",,,"Cash Sale, Conventional, FHA, Investor, Owner Financing",,,,Block & Beam,,,,,,No,No Heating,,,,,,494F,,LT 9 BLK 22 CHAPMANS SEC 3,Exclusive Agency to Sell/Lease,102000,For Sale,,,Subdivision Lot,5500,33291251,,No/$0,Denver Harbor,,,,,"$39,538",$0.00,"5,500",,"1,104",1940,,,,,$21 - $88 K,,No/$0,,http://www.har.com/1907-benson-st/sale_33291251,,,,,0.0727,No,,Single Family,,Electric Range,Composition,,207,TX,,1,,Other Style,Chapmans Sec 03 View subdivision price trend,CHAPMANS,2.52856,"$1,130/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1930,77020,5932f7b2e2bac83b34e52be2,,,
,10x12,,9x10,,9X10,,,,443 Exchange St,,No,125,290,,,,,,,,,,1 Full  Baths,,3 Bedrooms,,1225,Attached Carport,Houston,No,"Gas Dryer Connections, Washer Connections",,Central Electric,FOMAICA,Harris County,77020,9X10,8x14,No,No,Ceiling Fans,,"Vinyl, Aluminum",,,"Cash Sale, Investor",,"Tile, Vinyl",,Slab,,,,,1 / Detached,No,Central Gas,,,,,,495E,9X15,LT 84 BLK 3 DENVER HARBOR SEC 2,Exclusive Right to Sell/Lease,105000,For Sale,12X13,,Corner,5880,78583581,,No/$0,Denver Harbor,,,Master Bath Shower Only,,"$75,933",$0.00,"5,654",,"1,214",1950,No,,,,$60 - $99 K,,No/$0,,http://www.har.com/443-exchange-st/sale_78583581,,,,,0,No,,Single Family,,,Composition,,126,TX,,1,,Traditional,Denver Harbor View subdivision price trend,DENVER HARBOR,2.53516,"$1,861/2015",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",1950,77020,5932f7b2e2bac83b34e52be3,,,
,12x10,,12x12,,,,,,1411 Bayou St,,,1.97,3.55,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,154107(m_)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Wood,,,,,,,On Stilts,,,,,,,Other,,,,,,494E,,LT 2 BLK 7 SYDNOR,,100000,For Sale,,,Cleared,"5,000 Sqft.465(m_)  /Appraisal District",67562795 (HAR),,,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,,Electric Oven,http://www.har.com/1411-bayou-st/sale_67562795,,,,,0,No,,Single Family,,,Composition,,68,TX,,1,,Traditional,Sydnor View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Sewer,1930   / Appraisal District,77020,5933372ee2bac83b34e52be7,,,
,12x10,,12x12,,,,,,1415 Bayou St,,,1.97,3.55,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,088101(m_)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Wood,,,,,,,On Stilts,,,,,,,Other,,,,,,494E,,TR 1A BLK 7 SYDNOR,,100000,For Sale,,,Cleared,"3,000 Sqft.279(m_)  /Appraisal District",47340551 (HAR),,,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,,Electric Oven,http://www.har.com/1415-bayou-st/sale_47340551,,,,,0,No,,Single Family,,Electric Range,Composition,,68,TX,,1,,Traditional,Sydnor View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Water,1920   / Appraisal District,77020,5933372ee2bac83b34e52be8,,,
,12X12,,11X11,,11X9,11X10,,,1907 Benson St,,,1.73,3.29,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,296120(m_)  /Appraisal District",,Houston,,Electric Dryer Connections,,Other Cooling,,Harris County,77020,,,,,,,"Vinyl, Wood",,,"Cash Sale, Conventional, FHA, Investor, Owner Financing",,,,Block & Beam,,,,,,No,No Heating,,,,,,494F,,LT 9 BLK 22 CHAPMANS SEC 3,Exclusive Agency to Sell/Lease,102000,For Sale,,,Subdivision Lot,"5,500 Sqft.511(m_)  /Appraisal District",33291251 (HAR),,No/$0,Denver Harbor,,,,,"$39,538",$0.00,"5,500",,"1,104",1940,,,,,$21 - $88 K,,No/$0,,http://www.har.com/1907-benson-st/sale_33291251,,,,,0.0727,No,,Single Family,,Electric Range,Composition,,207,TX,,1,,Other Style,Chapmans Sec 03 View subdivision price trend,CHAPMANS,2.52856,"$1,130/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1930   / Appraisal District,77020,5933372ee2bac83b34e52be9,,,
,10x12,,9x10,,9X10,,,,443 Exchange St,,No,1.25,2.9,,,,,,,,,,1 Full  Bath(s),,3 Bedroom(s),,"1,225114(m_)  /Appraisal District",Attached Carport,Houston,No,"Gas Dryer Connections, Washer Connections",,Central Electric,FOMAICA,Harris County,77020,9X10,8x14,No,No,Ceiling Fans,,"Vinyl, Aluminum",,,"Cash Sale, Investor",,"Tile, Vinyl",,Slab,,,,,1 / Detached,No,Central Gas,,,,,,495E,9X15,LT 84 BLK 3 DENVER HARBOR SEC 2,Exclusive Right to Sell/Lease,105000,For Sale,12X13,,Corner,"5,880 Sqft.546(m_)  /Appraisal District",78583581 (HAR),,No/$0,Denver Harbor,,,Master Bath Shower Only,,"$75,933",$0.00,"5,654",,"1,214",1950,No,,,,$60 - $99 K,,No/$0,,http://www.har.com/443-exchange-st/sale_78583581,,,,,0,No,,Single Family,,,Composition,,126,TX,,1,,Traditional,Denver Harbor View subdivision price trend,DENVER HARBOR,2.53516,"$1,861/2015",,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",1950   / Appraisal District,77020,5933372ee2bac83b34e52bea,,,
,10x12,,11X12,,,,,,6806 Avenue I,,,1.47,2.68,,,,,,,,,,1 Full  & 1Half Bath(s),,2 Bedroom(s),,98091(m_)  /Appraisal District,,Houston,,,,Window Units,,Harris County,77011,,,,,,,Brick & Wood,,,"Cash Sale, Conventional",,,,Block & Beam,,,,,,No,Other Heating,,,,,,,,Lot 27 & 28  Block 73,Exclusive Right to Sell/Lease,105000,For Sale,,,Corner,"5,000 Sqft.465(m_)  /Appraisal District",93842547 (HAR),,No/$0,East End Revitalized,,,,,"$58,339",,"5,000",$76.57,"1,152",1936,,,,,$44 - $83 K,,No/$0,,http://www.har.com/6806-avenue-i/sale_93842547,,,,,0.0987,No,,Single Family,,,Composition,,"1,201",TX,,1,,Traditional,Central Park View subdivision price trend,CENTRAL PARK,,,,,,,,,,,,,,,,,,,,Public Water,1938   / Appraisal District,77011,5933372ee2bac83b34e52beb,,,
,12X11,,11X10,,11X10,14X12,,,1211 Bayou St,,No,1.97,3.55,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,200111(m_)  /Appraisal",,Houston,,,,Other Cooling,,Harris County,77020,,,,,Ceiling Fans,,Wood,,,"Cash Sale, Conventional, Owner Financing",,,,Block & Beam,,,,,,No,Other Heating,,,,,,494E,,LT 4 BLK 17,Exclusive Right to Sell/Lease,107000,For Sale,,,Cleared,"5,000 Sqft.465(m_)  /Appraisal District",73456666 (HAR),,No/$0,Denver Harbor,,,,,"$35,771",$0.00,"5,000",,"1,040",1930,,,,,$20 - $59 K,,No/$0,Gas Oven,http://www.har.com/1211-bayou-st/sale_73456666,,,,,0.1705,No,,Single Family,,Gas Range,Composition,,68,TX,,1,,Traditional,SYDNOR View subdivision price trend,SYDNOR,,,,,,,,,,,,,,,,,,,,Public Water,1935   / Appraisal,77020,5933372ee2bac83b34e52bec,,,
,14X12,,11X10,,13X12,10X12,,,4713 Vernon St,,,1.45,2.7,,,,,,,,,,2 Full  Bath(s),,4 Bedroom(s),,"1,918178(m_)  /Appraisal District",,Houston,,,,No Cooling/Vent,,Harris County,77020,,,No,No,,,Aluminum,,,Owner Financing,,,,Block & Beam,,,,,,No,No Heating,,,,,,494G,,LT 14 BLK 8,Exclusive Right to Sell/Lease,115000,For Sale,,,Cleared,"5,000 Sqft.465(m_)  /Appraisal District",42203472 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,No,,,,$30 - $83 K,,No/$0,Gas Oven,http://www.har.com/4713-vernon-st/sale_42203472,,,,,0,No,,Single Family,,,Composition,,205,TX,,2,,Traditional,PINECREST COURT View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,Utility Rm In House,,,,Public Water,1941   / Appraisal District,77020,5933372ee2bac83b34e52bed,,,
,,,,,,,,,6705 Avenue C St #3,,,1.47,2.68,,,,,,,,,,,,,,"3,303307(m_)  /Appraisal District",,Houston,,,,Window Units,,Harris County,77011,,,,,,,"Brick & Wood, Stone & Wood",,,"Cash Sale, Investor",,,,,,,,,,,"Central Electric, Central Gas",,,,,,494V,,Lot 30 BLK 24 CENTRAL PARK,Exclusive Right to Sell/Lease,120000,For Sale,,,Cleared,"10,500 Sqft.975(m_)  /Appraisal District",46056415 (HAR),,No,East End Revitalized,,,,,"$58,339",,"5,000",$76.57,"1,152",1936,,,,,$44 - $83 K,,No/$0,,http://www.har.com/6705-avenue-c-st-3/sale_46056415,,,,,0,,,Multi-Family,,,Composition,,"1,201",TX,,3,,,Central Park View subdivision price trend,CENTRAL PARK,2.68516,"$2,971/2015",3,,,,,,,,,,,,,,,,,,1938   / Appraisal,77011,5933372ee2bac83b34e52bee,,,
,16x13,,16x13,,15x12,12x11,,,4711 Sharon St,,,1.45,2.7,,,,,,,,,,1 Full  Bath(s),,4 Bedroom(s),,"1,580147(m_)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77020,,,,,,,Brick & Wood,,,"Cash Sale, Conventional, FHA, Investor",,,,Pier & Beam,,,,,1 / Detached,No,Central Gas,,,,,,494G,,LT 15 BLK 10 PINECREST COURT SEC 2,Exclusive Right to Sell/Lease,120000,For Sale,11X13,,Cleared,"5,000 Sqft.465(m_)  /Appraisal District",40575824 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,,,,,$30 - $83 K,,No/$0,,http://www.har.com/4711-sharon-st/sale_40575824,,,,,0,No,,Single Family,,,Composition,,205,TX,,1,,Traditional,PINE CREST COURT 2 View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1936   / Appraisal District,77020,5933372ee2bac83b34e52bef,,,
,12x13,,11x12,,,,,,5424 San Juan St,,,1.56,2.77,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,082101(m_)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Brick & Wood,,,,,,,Slab,,,,,1 / Attached,No,Other Heating,,,,,,494G,,LT 7 BLK 3 BUENA VISTA,Exclusive Right to Sell/Lease,120000,For Sale,,,Subdivision Lot,"4,000 Sqft.372(m_)  /Appraisal District",4732748 (HAR),,No/$0,Denver Harbor,,,,,"$42,273",$0.00,"4,150",,"1,020",1948,,,,,$29 - $92 K,,No/$0,,http://www.har.com/5424-san-juan-st/sale_4732748,,,,,0,No,,Single Family,,,Composition,,101,TX,,1,,Traditional,Buena Vista View subdivision price trend,BUENA VISTA,2.53516,"$1,249/2015",,,,,,,,,,,,,,,,,,Public Water,1950   / Appraisal District,77020,5933372ee2bac83b34e52bf0,,,
,,,,,,,,,6705 Avenue C St #3,,,1.47,2.68,,,,,,,,,,,,,,"3,303307(m_)  /Appraisal District",,Houston,,,,Window Units,,Harris County,77011,,,,,,,"Brick & Wood, Stone & Wood",,,"Cash Sale, Investor",,,,,,,,,,,"Central Electric, Central Gas",,,,,,494V,,Lot 30 BLK 24 CENTRAL PARK,Exclusive Right to Sell/Lease,120000,For Sale,,,Cleared,"10,500 Sqft.975(m_)  /Appraisal District",46056415 (HAR),,No,East End Revitalized,,,,,"$58,339",,"5,000",$76.57,"1,152",1936,,,,,$44 - $83 K,,No/$0,,http://www.har.com/6705-avenue-c-st-3/sale_46056415,,,,,0,,,Multi-Family,,,Composition,,"1,201",TX,,3,,,Central Park View subdivision price trend,CENTRAL PARK,2.68516,"$2,971/2015",3,,,,,,,,,,,,,,,,,,1938   / Appraisal,77011,5933372ee2bac83b34e52bf1,,,
,16x13,,16x13,,15x12,12x11,,,4711 Sharon St,,,1.45,2.7,,,,,,,,,,1 Full  Bath(s),,4 Bedroom(s),,"1,580147(m_)  /Appraisal District",,Houston,,,,Central Electric,,Harris County,77020,,,,,,,Brick & Wood,,,"Cash Sale, Conventional, FHA, Investor",,,,Pier & Beam,,,,,1 / Detached,No,Central Gas,,,,,,494G,,LT 15 BLK 10 PINECREST COURT SEC 2,Exclusive Right to Sell/Lease,120000,For Sale,11X13,,Cleared,"5,000 Sqft.465(m_)  /Appraisal District",40575824 (HAR),,No/$0,Denver Harbor,,,,,"$47,401",,"5,000",$47.79,"1,156",1945,,,,,$30 - $83 K,,No/$0,,http://www.har.com/4711-sharon-st/sale_40575824,,,,,0,No,,Single Family,,,Composition,,205,TX,,1,,Traditional,PINE CREST COURT 2 View subdivision price trend,PINECREST COURT,,,,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1936   / Appraisal District,77020,5933372ee2bac83b34e52bf2,,,
,12x13,,11x12,,,,,,5424 San Juan St,,,1.56,2.77,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,"1,082101(m_)  /Appraisal District",,Houston,,,,Other Cooling,,Harris County,77020,,,,,,,Brick & Wood,,,,,,,Slab,,,,,1 / Attached,No,Other Heating,,,,,,494G,,LT 7 BLK 3 BUENA VISTA,Exclusive Right to Sell/Lease,120000,For Sale,,,Subdivision Lot,"4,000 Sqft.372(m_)  /Appraisal District",4732748 (HAR),,No/$0,Denver Harbor,,,,,"$42,273",$0.00,"4,150",,"1,020",1948,,,,,$29 - $92 K,,No/$0,,http://www.har.com/5424-san-juan-st/sale_4732748,,,,,0,No,,Single Family,,,Composition,,101,TX,,1,,Traditional,Buena Vista View subdivision price trend,BUENA VISTA,2.53516,"$1,249/2015",,,,,,,,,,,,,,,,,,Public Water,1950   / Appraisal District,77020,5933372ee2bac83b34e52bf3,,,
