,Distinction,Home,Index_Rating,School,_id
0,['Math Distinction'],http://www.har.com/5906-hillsboro-st/sale_25669824,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Eliot Elementary School Elementary  PK  05  HOUSTON ISD
                  
                   
                ",59891612e2bac82508525927
1,"['Math Distinction', 'Progress Distinction']",http://www.har.com/5906-hillsboro-st/sale_25669824,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle  06  08  HOUSTON ISD
                  
                   
                ",59891612e2bac82508525928
2,[],http://www.har.com/5906-hillsboro-st/sale_25669824,['Met Index 2'],"
                  Wheatley High School High  09  12  HOUSTON ISD
                  
                   
                ",59891612e2bac82508525929
3,"['Math Distinction', 'Reading/ELA Distinction', 'Science Distinction', 'Post Secondary Distinction']",http://www.har.com/1880-white-oak-dr-108/sale_98594649,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Travis Elementary School Elementary  PK  05  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592a
4,[],http://www.har.com/1880-white-oak-dr-108/sale_98594649,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Hogg Middle School Middle  06  08  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592b
5,"['Math Distinction', 'Reading/ELA Distinction', 'Science Distinction', 'Post Secondary Distinction']",http://www.har.com/1880-white-oak-dr-108/sale_98594649,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Heights High School High  09  12  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592c
6,[],http://www.har.com/3502-cline-st/sale_5387041,"['Met Index 2', 'Met Index 4']","
                  Bruce Elementary School Elementary  PK  05  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592d
7,"['Math Distinction', 'Progress Distinction']",http://www.har.com/3502-cline-st/sale_5387041,"['Met Index 2', 'Met Index 3', 'Met Index 4']","
                  McReynolds Middle School Middle  06  08  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592e
8,[],http://www.har.com/3502-cline-st/sale_5387041,['Met Index 2'],"
                  Wheatley High School High  09  12  HOUSTON ISD
                  
                   
                ",59891612e2bac8250852592f
9,[],http://www.har.com/3802-center-st/sale_62533397,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Memorial Elementary School Elementary  PK  05  HOUSTON ISD
                  
                   
                ",59891612e2bac82508525930
10,[],http://www.har.com/3802-center-st/sale_62533397,"['Met Index 1', 'Met Index 2', 'Met Index 3', 'Met Index 4']","
                  Hogg Middle School Middle  06  08  HOUSTON ISD
                  
                   
                ",59891612e2bac82508525931
