,End_Price,Start_Price,Start_Dt,count,End_Dt,Price_Change,Price_Change_Pct,Time_Change,Page_Link,1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text,End_Price_abbrev,bins,Area_Median_Appraised_Value,Area_Median_Appraised_Value_abbrev,zip_str,address_full,walk_score,transit_score,bike_score,grocery_store_count,school_distinction_count,school_index4_count,zip_violent_crimes,zip_non_violent_crimes,total_crimes,flood_plain_type,flood_plain_yes,property_type_sf,property_type_th,maintenance_fee,maintenance_fee_timing,maintenance_fee_annual,maintenance_fee_annual_abbrev,year_built,year_built_source,tax_rate,lot_size,lot_size_abbrev,building_sqft_clean,building_sqft_clean_abbrev,stories,construction_lived_in_unfinished,hoa_mandatory_yes,ext_cement,ext_wood,ext_synth,ext_stucco,ext_vinyl,ext_brick,ext_asbes,ext_veneer,ext_stone,ext_aluminum,style_trad,style_geor,style_span,style_medi,style_vict,style_cont,style_french,style_col,style_eng,style_ranch,fnd_blocks,fnd_stilts,fnd_builders,fnd_beam,fnd_pier,fnd_slab,backyard_yes,outside_spa,fully_fenced_yes,patiodeck_yes,rooftop_yes,balcony_yes,garage_apt_yes,auto_garage_door_opener,private_pool_yes,roof_tile_slate,access_gate,bedrooms,bedrooms_low,bedrooms_high,bathroom_full,bathroom_half,1st Bed_x,1st Bed_y,1st Bed_sqft,2nd Bed_x,2nd Bed_y,2nd Bed_sqft,3rd Bed_x,3rd Bed_y,3rd Bed_sqft,Dining_x,Dining_y,Dining_sqft,Kitchen_x,Kitchen_y,Kitchen_sqft,Living_x,Living_y,Living_sqft,garage_spots,garage_attached,utility_room_in_house,guest_room_yes,game_room_yes,formal_room_yes,disposal_yes,dishwasher_yes,zoned_cooling_yes,central_cooling_no,zoned_heating_yes,cental_heating_no,hot_tub_yes,alarm_system_yes,wet_bar_yes,elevator_yes,refrigerator_yes,high_ceilings_yes,fireplace_yes,floor_wood,floor_concrete,floor_slate,floor_brick,floor_laminate,floor_marble,floor_stone,floor_carpet,floor_terrazo,floor_tile,floor_vinyl,master_bath_yes,master_double_sinks,master_tub_shower,master_tub_whirlpool,microwave_yes,oven_yes,oven_electric_yes,range_yes,gas_range_yes,insulated_yes,barrier_yes,thermostat_yes,hvac_yes,turbine_vent_yes
0,325700,325700,2017-08-02,1,2017-08-02,0,0.0,0.0,http://www.har.com/0-e-39th-st/sale_84453794,,19x18,,12x11,,12x11,,,,0 E 39th St,,No,1.5,2.76,,,,,,,,,,2  & 1,,3 Bedroom(s),,"2,032189(m_)  /Builder",,Houston,,"Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77018.0,30X18,,Yes,Yes,Ceiling Fans,"Fully Fenced, Patio/Deck, Back Yard Fenced","Brick Veneer, Cement Board",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,,,,Driveway Gate,2 / Attached,No,Central Gas,,,,,"High Ceiling, Island Kitchen, Prewired for Alarm System",453N,16x12,LTS 1 & 2 BLK 7 INDEPENDENCE  HEIGHTS,Exclusive Right to Sell/Lease,321900.0,For Sale,16x14,,Subdivision Lot,"3,000 Sqft.279(m_)  /Survey",84453794,,No/$0,Northwest Houston,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$68,512",,"6,000",$139.59,"1,080",1940.0,Yes,,,,$26 - $135 K,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,"1 Living Area, Breakfast Room, Den, Kitchen/Dining Combo, Family Room,",128,TX,,2,,Contemporary/Modern,INDEPENDENCE HEIGHTS View subdivision price trend,INDEPENDENCE HEIGHTS,2.5285599999999997,"$1,214/2015",,,,,,,,,,,,,,Utility Room 2nd Floor,,,,"Public Sewer, Public Water",2017   / Builder,77018.0,5933372ee2bac83b34e52d22,,,,325.7,"[2.0, 2.5)",68512.0,68.512,77018,0 E 39th St Houston 77018,,,,1.0,2.0,3.0,91.16666666666669,506.5,597.6666666666667,none,0.0,1,0,0.0,,0.0,0.0,2017.0, Builder,2.52856,3000.0,3.0,2032.0,2.032,2.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,2.0, 1,19.0,18.0,342.0,12.0,11.0,132.0,12.0,11.0,132.0,,,,16.0,12.0,192.0,16.0,14.0,224.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0
1,304900,304900,2017-06-15,1,2017-06-15,0,0.0,0.0,http://www.har.com/10-n-hutcheson/sale_76265774,,13x14,,11x10,,11x10,,,,10 N Hutcheson,,No,2.06,2.57,"$1,706",$1.16,"$318,211",,$214.57,,"1,695",,,2  & 1,,3 Bedroom(s),,"1,539143(m_)  /Builder",,Houston,No,Washer Connections,,Central Electric,,Harris County,,,10x14,Yes,Yes,,,Stucco,,,,,Tile,,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,107.0,321.0,,,Alarm System - Owned,,9x12,Lot 56 Block 1 EaDo Square,Exclusive Right to Sell/Lease,304900.0,For Sale,14x13,,Other,,76265774,,$ 2151 / ANNUALLY,East End Revitalized,East End Revitalized,,Master Bath + Separate Shower,,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,,,TX,,2,,Contemporary/Modern,EaDo Square,,,,,,,,,,,,,,,,,Utility Rm in House,,,,Public Water,2017   / Builder,77003.0,5933372ee2bac83b34e52ceb,,,,304.9,"[1.5, 2.0)",,,77003,10 N Hutcheson Houston 77003,,,,1.0,,,48.33333333333334,309.8333333333333,358.16666666666663,none,0.0,1,0,2151.0,annual,2151.0,2.151,2017.0, Builder,,,,1539.0,1.539,2.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,2.0, 1,13.0,14.0,182.0,11.0,10.0,110.0,11.0,10.0,110.0,10.0,14.0,140.0,9.0,12.0,108.0,14.0,13.0,182.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
2,299900,299900,2017-06-26,1,2017-06-26,0,0.0,0.0,http://www.har.com/10-n-hutcheson/sale_96075941,,13x14,,11x10,,11x10,,,,10 N Hutcheson,,No,2.07,2.57,"$1,628",$1.15,"$320,400",,$215.70,,"1,703",,,2  & 1,,3 Bedroom(s),,"1,539143(m_)  /Builder",,Houston,No,Washer Connections,,Central Electric,,Harris County,,,10x14,Yes,Yes,,,Stucco,,,,,Tile,,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,99.0,318.0,,,Alarm System - Owned,,9x12,Lot 56 Block 1 EaDo Square,Exclusive Right to Sell/Lease,299900.0,For Sale,14x13,,Other,,96075941,,$ 2151 / ANNUALLY,East End Revitalized,East End Revitalized,,Master Bath + Separate Shower,,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,,,TX,,2,,Contemporary/Modern,EaDo Square,,,,,,,,,,,,,,,,,Utility Rm in House,,,,Public Water,2017   / Builder,77003.0,594327d1e2bac8216c4db0c8,,,,299.9,"[1.5, 2.0)",,,77003,10 N Hutcheson Houston 77003,,,,1.0,2.0,3.0,48.33333333333334,309.8333333333333,358.16666666666663,none,0.0,1,0,2151.0,annual,2151.0,2.151,2017.0, Builder,,,,1539.0,1.539,2.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,2.0, 1,13.0,14.0,182.0,11.0,10.0,110.0,11.0,10.0,110.0,10.0,14.0,140.0,9.0,12.0,108.0,14.0,13.0,182.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,0
4,399900,399900,2017-08-12,1,2017-08-12,0,0.0,0.0,http://www.har.com/1001-w-21st/sale_55212609,,17x14,,13x11,,12x11,,,,1001 W 21st,,,4.0,3.0,,,,,,,,,,3  & 1,,3 Bedroom(s),,"1,967183(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",Driveway Gate,Central Electric,Granite,Harris County,77008.0,,18x19,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Patio/Deck, Controlled Subdivision Access, Sprinkler System","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Stone, Wood",,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,"Central Electric, Central Gas",,,,,"Island Kitchen, Refrigerator Included, Fire/Smoke Alarm",452U,18x19,LT 1 BLK 1 SEVILLAS OF SHADY ACRES SEC 3,Exclusive Right to Sell/Lease,399900.0,For Sale,21x18,,Patio Lot,"1,800 Sqft.167(m_)  /Appraisal District",55212609,,$700,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,"$379,679",$0.00,"1,825",,"1,936",2007.0,Yes,,,,$303 - $398 K,,Yes/$200/Transfer Fee,Gas Oven,,,,,0.0591,No,,Single Family,,Gas Range,"Composition, Tile","Study/Library, Living Area - 2nd Floor",30,TX,,3,,Mediterranean,Shady Acres View subdivision price trend,SEVILLAS/SHADY ACRES,2.5285599999999997,,,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2007   / Appraisal District,77008.0,596ff381e2bac819301db541,,,,399.9,"[1.5, 2.0)",379679.0,379.679,77008,1001 W 21st Houston 77008,,,,9.0,3.0,3.0,57.0,739.8333333333335,796.8333333333335,100 year,1.0,1,0,700.0,,700.0,0.7,2007.0, Appraisal District,2.52856,1800.0,1.8,1967.0,1.967,3.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3,,3.0, 1,17.0,14.0,238.0,13.0,11.0,143.0,12.0,11.0,132.0,18.0,19.0,342.0,18.0,19.0,342.0,21.0,18.0,378.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0
5,479900,479900,2017-08-04,1,2017-08-04,0,0.0,0.0,http://www.har.com/1001-w-8th-st/sale_44030449,,22x16,,15x13,,10x10,,,,1001 W 8th St,,No,2.28,2.8,,,,,,,,,,3  & 1,,3 Bedroom(s),10x6,"2,692250(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77007.0,,11x9,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat","Patio/Deck, Back Yard, Back Yard Fenced, Rooftop Deck, Rooftop Deck",Cement Board,,,"Cash Sale, Conventional, VA",,"Tile, Wood, Carpet, Slate",,Slab,,,,Auto Garage Door Opener,2 / Attached,No,Central Gas,,,,,"Alarm System - Leased, High Ceiling, Fire/Smoke Alarm, Drapes/Curtains/Window Cover",492D,11x9,LT 27 BLK 1 HARDING HEIGHTS AMEND,Exclusive Right to Sell/Lease,489900.0,For Sale,19x16,,Subdivision Lot,"2,600 Sqft.242(m_)  /Appraisal District",44030449,,No/$0,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$328,683",,"4,500",$210.88,"1,333",1953.0,Yes,,,,$146 - $596 K,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,"Breakfast Room, Den, Kitchen/Dining Combo, Living/Dining Combo,",90,TX,,4,,Traditional,Harding Heights Add View subdivision price trend,HARDING HEIGHTS,2.5285599999999997,"$11,199/2016",,,,,,,,,,,,,,Utility Rm in House,6x6,,,"Public Sewer, Public Water",2008   / Appraisal District,77007.0,5933372ee2bac83b34e530a3,,,,479.9,"[2.5, 3.0)",328683.0,328.683,77007,1001 W 8th St Houston 77007,52.0,42.0,75.0,7.0,1.0,3.0,71.16666666666667,1129.6666666666667,1200.8333333333335,none,0.0,1,0,0.0,,0.0,0.0,2008.0, Appraisal District,2.52856,2600.0,2.6,2692.0,2.692,4.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,3.0, 1,22.0,16.0,352.0,15.0,13.0,195.0,10.0,10.0,100.0,11.0,9.0,99.0,11.0,9.0,99.0,19.0,16.0,304.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,1,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1
6,385000,385000,2017-07-31,1,2017-07-31,0,0.0,0.0,http://www.har.com/1002-e-25th-st/sale_9338189,,14x13,,13x11,,,,,Driveway Gate,1002 E 25th St,,No,1.99,2.7,,,,,,,,,,1 ,,2 Bedroom(s),,98792(m_)  /Appraisal District,,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77009.0,,,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Patio/Deck, Back Yard, Back Yard Fenced",Wood,,,"Cash Sale, Conventional",,Wood,,Block & Beam,North,,,,2 / Detached,No,Central Gas,,,,,"High Ceiling, Refrigerator Included, Drapes/Curtains/Window Cover",453T,13x11,LTS 14 & 15 BLK 61 SUNSET HEIGHTS,Exclusive Right to Sell/Lease,399000.0,For Sale,16x14,,Subdivision Lot,"6,000 Sqft.557(m_)  /Appraisal District",9338189,,No/$0,Heights/Greater Heights,,,Master Bath Shower Only,,"$294,575",,"6,000",$235.18,"1,248",1934.0,No,,,,$190 - $512 K,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,1 Living Area,635,TX,,1,,Traditional,Sunset Heights View subdivision price trend,SUNSET HEIGHTS,2.5285599999999997,"$9,809/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1920   / Appraisal District,77009.0,5933372ee2bac83b34e52eab,,,,385.0,"[0.5, 1.0)",294575.0,294.575,77009,1002 E 25th St Houston 77009,69.0,43.0,62.0,10.0,3.0,3.0,196.83333333333331,631.0,827.8333333333333,none,0.0,1,0,0.0,,0.0,0.0,1920.0, Appraisal District,2.52856,6000.0,6.0,987.0,0.987,1.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2,,1.0,,14.0,13.0,182.0,13.0,11.0,143.0,,,,,,,13.0,11.0,143.0,16.0,14.0,224.0,2.0, Detached,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0,0
7,434995,434995,2017-07-19,1,2017-07-19,0,0.0,0.0,http://www.har.com/1005-bingham-2/sale_31847948,,17x13,,13x12,,11x9,,,,1005 Bingham #2,,No,2.39,2.69,"$2,176",$1.60,"$442,937",,$204.71,,"2,251",,,3  & 1,,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",Automatic Gate,Central Electric,Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances","Patio/Deck, Porch, Rooftop Deck, Rooftop Deck","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate",2 / Attached,Yes,Central Gas,59.0,97.0,,,"High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",,15x13,"Lot 2, Blk 1 of Bingham Court",Exclusive Right to Sell/Lease,434995.0,For Sale,17x12,,Subdivision Lot,,31847948,,$ 50 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,"Living/Dining Combo, Living Area - 2nd Floor",,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x9,,,"Public Sewer, Public Water",2016   / Builder,77007.0,59602877e2bac828e009b9cf,,,,434.995,"[2.5, 3.0)",,,77007,1005 Bingham #2 Houston 77007,,,,7.0,,,71.16666666666667,1129.6666666666667,1200.8333333333335,none,0.0,1,0,50.0,month,600.0,0.6,2016.0, Builder,2.66,,,2551.0,2.551,4.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,3.0, 1,17.0,13.0,221.0,13.0,12.0,156.0,11.0,9.0,99.0,17.0,10.0,170.0,15.0,13.0,195.0,17.0,12.0,204.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1
8,449995,449995,2017-06-28,1,2017-06-28,0,0.0,0.0,http://www.har.com/1005-bingham-2/sale_52612214,,17x13,,13x12,,11x9,,,Automatic Gate,1005 Bingham #2,,,2.44,2.7,"$2,106",$1.54,"$442,794",,$207.14,,"2,225",,,3  & 1,,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances",Patio/Deck,"Cement Board, Stucco",,,"Cash Sale, Conventional",,"Tile, Wood",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate, Auto Garage Door Opener",2 / Attached,No,"Central Gas, Zoned",48.0,105.0,,,"High Ceiling, Island Kitchen, Fire/Smoke Alarm",493G,15x13,"Lot 2, Blk 1 of Bingham Court",Exclusive Right to Sell/Lease,449995.0,For Sale,17x12,,Subdivision Lot,,52612214,,$ 25 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x6,,,"Public Sewer, Public Water",2016   / Builder,77007.0,5933372ee2bac83b34e52ff9,,,,449.995,"[2.5, 3.0)",,,77007,1005 Bingham #2 Houston 77007,,,,7.0,,,71.16666666666667,1129.6666666666667,1200.8333333333335,none,0.0,1,0,25.0,month,300.0,0.3,2016.0, Builder,2.66,,,2551.0,2.551,4.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3,,3.0, 1,17.0,13.0,221.0,13.0,12.0,156.0,11.0,9.0,99.0,17.0,10.0,170.0,15.0,13.0,195.0,17.0,12.0,204.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1
9,449995,449995,2017-06-28,1,2017-06-28,0,0.0,0.0,http://www.har.com/1005-bingham-3/sale_16180206,,17x13,,13x12,,11x9,,,Automatic Gate,1005 Bingham #3,,,2.44,2.7,"$2,106",$1.54,"$442,794",,$207.14,,"2,225",,,3  & 1,,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances",Patio/Deck,"Cement Board, Stucco",,,"Cash Sale, Conventional",,"Tile, Wood",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate, Auto Garage Door Opener",2 / Attached,No,"Central Gas, Zoned",48.0,105.0,,,"High Ceiling, Prewired for Alarm System, Fire/Smoke Alarm",493G,15x13,"Lot 3, blk 1 of Bingham Court",Exclusive Right to Sell/Lease,449995.0,For Sale,17x12,,Subdivision Lot,,16180206,,$ 25 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x6,,,"Public Sewer, Public Water",2016   / Builder,77007.0,5933372ee2bac83b34e52ffa,,,,449.995,"[2.5, 3.0)",,,77007,1005 Bingham #3 Houston 77007,,,,7.0,,,71.16666666666667,1129.6666666666667,1200.8333333333335,none,0.0,1,0,25.0,month,300.0,0.3,2016.0, Builder,2.66,,,2551.0,2.551,4.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3,,3.0, 1,17.0,13.0,221.0,13.0,12.0,156.0,11.0,9.0,99.0,17.0,10.0,170.0,15.0,13.0,195.0,17.0,12.0,204.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,0,0,1,0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0,1
10,434995,434995,2017-07-26,1,2017-07-26,0,0.0,0.0,http://www.har.com/1005-bingham-3/sale_76007483,,17x13,,13x12,,11x9,,,,1005 Bingham #3,,No,2.39,2.69,"$2,176",$1.60,"$442,937",,$204.71,,"2,251",,,3  & 1,,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",Automatic Gate,Central Electric,Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances","Patio/Deck, Porch, Rooftop Deck, Rooftop Deck","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate",2 / Attached,Yes,Central Gas,59.0,97.0,,,"High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",,15x13,"Lot 3, Blk 1 of Bingham Court",Exclusive Right to Sell/Lease,434995.0,For Sale,17x12,,Subdivision Lot,,76007483,,$ 50 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,"Living/Dining Combo, Living Area - 2nd Floor",,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x9,,,"Public Sewer, Public Water",2016   / Builder,77007.0,59602877e2bac828e009b9ce,,,,434.995,"[2.5, 3.0)",,,77007,1005 Bingham #3 Houston 77007,,,,7.0,,,71.16666666666667,1129.6666666666667,1200.8333333333335,none,0.0,1,0,50.0,month,600.0,0.6,2016.0, Builder,2.66,,,2551.0,2.551,4.0,0.0,1.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3,,3.0, 1,17.0,13.0,221.0,13.0,12.0,156.0,11.0,9.0,99.0,17.0,10.0,170.0,15.0,13.0,195.0,17.0,12.0,204.0,2.0, Attached,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,0,1,0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1
