,Start_Dt,End_Dt,count,Start_Price,End_Price,Price_Change,Price_Change_Pct,Time_Change,Page_Link,1 Bdr ,1st Bed,2 Bdr ,2nd Bed,3 Bdr ,3rd Bed,4th Bed,5th Bed,Access,Address,Appliances,Area Pool,Average Baths,Average Bedrooms,Average Lease,Average LeaseSquare Ft,Average List Price,Average Price,Average PriceSquare Ft,Average Rent,Average Square Ft,Average Year Built,Bath,Baths,Bedroom,Bedrooms,Breakfast,Building Sqft,Carport Description,City,Compactor,Connection,Controlled Access,Cooling,Countertop,County,County  Zip Code,Den,Dining,Dishwasher,Disposal,Energy Feature,Exterior,Exterior Type,Extra Room,Family Room,Finance Avail,Fireplace,Floors,Foreclosure,Foundation,Front Door,Game Room,Garage Apartment,Garage Carport,Garages,HOA Mandatory,Heating,Home For Lease,Home For Sales,Homes for Lease,Homes for Sale,Interior,Key Map,Kitchen,Legal Description,List Type,Listing Price,Listing Status,Living,Loft,Lot Description,Lot Size,MLS,Maint Fee Includes,Maintenance Fee,Market Area,Market Area Name,Market Value,Master Bath Description,Media Room,Median Appraised Value,Median Appraised Value  Square ft,Median Lot Square Ft,Median Price  Square ft,Median Square Ft,Median Year Built,Microwave,MultiFamily Description,Name,Neighborhood,Neighborhood Value Range,New Construction,Other Fees,Oven,Parking,Parking Space,Parking Unit,Price Range,Price_Reduced,Private Pool,Private Pool Desc,Property Type,QuartersGuest House,Range,Roof,Room Description,Single Family Properties,State,Status,Stories,StudyLibrary,Style,Subdivision,Subdivision Name,Tax Rate,Taxes wo Exemp,Unit No,Unit1 Bed,Unit1 Kitchen,Unit1 Living,Unit2 Bed1,Unit2 Bed2,Unit2 Kitchen,Unit2 Living,Unit3 Bed1,Unit3 Bed2,Unit3 Bed3,Unit3 Kitchen,Unit3 Living,Utility Room Desc,Utility Room Dim,WasherDryer Conn,Water Amenity,Water Sewer,Year Built,Zip Code,_id,author,null,text
0,2017-08-02,2017-08-02,1,325700,325700,0,0.0,0.0,http://www.har.com/0-e-39th-st/sale_84453794,,19X18,,12X11,,12X11,,,,0 E 39th St,,No,1.5,2.76,,,,,,,,,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,032189(m_)  /Builder",,Houston,,"Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77018.0,30X18,,Yes,Yes,Ceiling Fans,"Fully Fenced, Patio/Deck, Back Yard Fenced","Brick Veneer, Cement Board",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab,,,,Driveway Gate,2 / Attached,No,Central Gas,,,,,"High Ceiling, Island Kitchen, Prewired for Alarm System",453N,16x12,LTS 1 & 2 BLK 7 INDEPENDENCE  HEIGHTS,Exclusive Right to Sell/Lease,321900.0,For Sale,16X14,,Subdivision Lot,"3,000 Sqft.279(m_)  /Survey",84453794 (HAR),,No/$0,Northwest Houston,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$68,512",,"6,000",$139.59,"1,080",1940.0,Yes,,,,$26 - $135 K,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,"1 Living Area, Breakfast Room, Den, Kitchen/Dining Combo, Family Room,",128,TX,,2,,Contemporary/Modern,INDEPENDENCE HEIGHTS View subdivision price trend,INDEPENDENCE HEIGHTS,2.5285599999999997,"$1,214/2015",,,,,,,,,,,,,,Utility Room 2nd Floor,,,,"Public Sewer, Public Water",2017   / Builder,77018.0,5933372ee2bac83b34e52d22,,,
1,2017-06-15,2017-06-15,1,304900,304900,0,0.0,0.0,http://www.har.com/10-n-hutcheson/sale_76265774,,13x14,,11x10,,11x10,,,,10 N Hutcheson,,No,2.06,2.57,"$1,706",$1.16,"$318,211",,$214.57,,"1,695",,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"1,539143(m_)  /Builder",,Houston,No,Washer Connections,,Central Electric,,Harris County,,,10x14,Yes,Yes,,,Stucco,,,,,Tile,,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,107.0,321.0,,,Alarm System - Owned,,9x12,Lot 56 Block 1 EaDo Square,Exclusive Right to Sell/Lease,304900.0,For Sale,14x13,,Other,,76265774 (HAR),,$ 2151 / ANNUALLY,East End Revitalized,East End Revitalized,,Master Bath + Separate Shower,,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,,,TX,,2,,Contemporary/Modern,EaDo Square,,,,,,,,,,,,,,,,,Utility Rm in House,,,,Public Water,2017   / Builder,77003.0,5933372ee2bac83b34e52ceb,,,
2,2017-06-26,2017-06-26,1,299900,299900,0,0.0,0.0,http://www.har.com/10-n-hutcheson/sale_96075941,,13x14,,11x10,,11x10,,,,10 N Hutcheson,,No,2.07,2.57,"$1,628",$1.15,"$320,400",,$215.70,,"1,703",,,2 Full  & 1Half Bath(s),,3 Bedroom(s),,"1,539143(m_)  /Builder",,Houston,No,Washer Connections,,Central Electric,,Harris County,,,10x14,Yes,Yes,,,Stucco,,,,,Tile,,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,Central Gas,99.0,318.0,,,Alarm System - Owned,,9x12,Lot 56 Block 1 EaDo Square,Exclusive Right to Sell/Lease,299900.0,For Sale,14x13,,Other,,96075941 (HAR),,$ 2151 / ANNUALLY,East End Revitalized,East End Revitalized,,Master Bath + Separate Shower,,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,,,TX,,2,,Contemporary/Modern,EaDo Square,,,,,,,,,,,,,,,,,Utility Rm in House,,,,Public Water,2017   / Builder,77003.0,594327d1e2bac8216c4db0c8,,,
3,2017-06-26,2017-06-26,1,425000,425000,0,0.0,0.0,http://www.har.com/1001-21st/sale_55212609,,17x14,,13x11,,12x11,,,Driveway Gate,1001 21st,,,4.0,3.0,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"1,967183(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,Granite,Harris County,77008.0,,18x19,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Patio/Deck, Controlled Subdivision Access, Sprinkler System","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Stone, Wood",,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,"Central Electric, Central Gas",,,,,"Island Kitchen, Refrigerator Included, Fire/Smoke Alarm",452U,18x19,LT 1 BLK 1 SEVILLAS OF SHADY ACRES SEC 3,Exclusive Right to Sell/Lease,425000.0,For Sale,21x18,,Patio Lot,"1,800 Sqft.167(m_)  /Appraisal District",55212609 (HAR),,$700,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,"$379,679",$0.00,"1,825",,"1,936",2007.0,Yes,,,,$303 - $398 K,,Yes/$200/Transfer Fee,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,"Composition, Tile","Study/Library, Living Area - 2nd Floor",30,TX,,3,,Mediterranean,Shady Acres View subdivision price trend,SEVILLAS/SHADY ACRES,2.5285599999999997,,,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2007   / Appraisal District,77008.0,593b3ef7e2bac83f4ce6436d,,,
4,2017-08-12,2017-08-12,1,399900,399900,0,0.0,0.0,http://www.har.com/1001-w-21st/sale_55212609,,17x14,,13x11,,12x11,,,,1001 W 21st,,,4.0,3.0,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"1,967183(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",Driveway Gate,Central Electric,Granite,Harris County,77008.0,,18x19,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Patio/Deck, Controlled Subdivision Access, Sprinkler System","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Stone, Wood",,Slab,,,,Auto Garage Door Opener,2 / Attached,Yes,"Central Electric, Central Gas",,,,,"Island Kitchen, Refrigerator Included, Fire/Smoke Alarm",452U,18x19,LT 1 BLK 1 SEVILLAS OF SHADY ACRES SEC 3,Exclusive Right to Sell/Lease,399900.0,For Sale,21x18,,Patio Lot,"1,800 Sqft.167(m_)  /Appraisal District",55212609 (HAR),,$700,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,"$379,679",$0.00,"1,825",,"1,936",2007.0,Yes,,,,$303 - $398 K,,Yes/$200/Transfer Fee,Gas Oven,,,,,0.0591,No,,Single Family,,Gas Range,"Composition, Tile","Study/Library, Living Area - 2nd Floor",30,TX,,3,,Mediterranean,Shady Acres View subdivision price trend,SEVILLAS/SHADY ACRES,2.5285599999999997,,,,,,,,,,,,,,,Utility Rm in House,,,,"Public Sewer, Public Water",2007   / Appraisal District,77008.0,596ff381e2bac819301db541,,,
5,2017-08-04,2017-08-04,1,479900,479900,0,0.0,0.0,http://www.har.com/1001-w-8th-st/sale_44030449,,22x16,,15x13,,10x10,,,,1001 W 8th St,,No,2.28,2.8,,,,,,,,,,3 Full  & 1Half Bath(s),,3 Bedroom(s),10x6,"2,692250(m_)  /Appraisal District",,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77007.0,,11x9,Yes,Yes,"Attic Vents, Insulated/Low-E windows, Ceiling Fans, Digital Program Thermostat","Patio/Deck, Back Yard, Back Yard Fenced, Rooftop Deck, Rooftop Deck",Cement Board,,,"Cash Sale, Conventional, VA",,"Tile, Wood, Carpet, Slate",,Slab,,,,Auto Garage Door Opener,2 / Attached,No,Central Gas,,,,,"Alarm System - Leased, High Ceiling, Fire/Smoke Alarm, Drapes/Curtains/Window Cover",492D,11x9,LT 27 BLK 1 HARDING HEIGHTS AMEND,Exclusive Right to Sell/Lease,489900.0,For Sale,19x16,,Subdivision Lot,"2,600 Sqft.242(m_)  /Appraisal District",44030449 (HAR),,No/$0,Heights/Greater Heights,,,"Double Sinks, Master Bath + Separate Shower, Master With Tub",,"$328,683",,"4,500",$210.88,"1,333",1953.0,Yes,,,,$146 - $596 K,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,"Breakfast Room, Den, Kitchen/Dining Combo, Living/Dining Combo,",90,TX,,4,,Traditional,Harding Heights Add View subdivision price trend,HARDING HEIGHTS,2.5285599999999997,"$11,199/2016",,,,,,,,,,,,,,Utility Rm in House,6x6,,,"Public Sewer, Public Water",2008   / Appraisal District,77007.0,5933372ee2bac83b34e530a3,,,
6,2017-07-31,2017-07-31,1,385000,385000,0,0.0,0.0,http://www.har.com/1002-e-25th-st/sale_9338189,,14x13,,13x11,,,,,Driveway Gate,1002 E 25th St,,No,1.99,2.7,,,,,,,,,,1 Full  Bath(s),,2 Bedroom(s),,98792(m_)  /Appraisal District,,Houston,No,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,Central Electric,,Harris County,77009.0,,,Yes,Yes,"Ceiling Fans, Digital Program Thermostat","Patio/Deck, Back Yard, Back Yard Fenced",Wood,,,"Cash Sale, Conventional",,Wood,,Block & Beam,North,,,,2 / Detached,No,Central Gas,,,,,"High Ceiling, Refrigerator Included, Drapes/Curtains/Window Cover",453T,13x11,LTS 14 & 15 BLK 61 SUNSET HEIGHTS,Exclusive Right to Sell/Lease,399000.0,For Sale,16x14,,Subdivision Lot,"6,000 Sqft.557(m_)  /Appraisal District",9338189 (HAR),,No/$0,Heights/Greater Heights,,,Master Bath Shower Only,,"$294,575",,"6,000",$235.18,"1,248",1934.0,No,,,,$190 - $512 K,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Range,Composition,1 Living Area,635,TX,,1,,Traditional,Sunset Heights View subdivision price trend,SUNSET HEIGHTS,2.5285599999999997,"$9,809/2016",,,,,,,,,,,,,,,,,,"Public Sewer, Public Water",1920   / Appraisal District,77009.0,5933372ee2bac83b34e52eab,,,
7,2017-07-19,2017-07-19,1,434995,434995,0,0.0,0.0,http://www.har.com/1005-bingham-2/sale_31847948,,17x13,,13x12,,11x9,,,,1005 Bingham #2,,No,2.39,2.69,"$2,176",$1.60,"$442,937",,$204.71,,"2,251",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",Automatic Gate,Central Electric,Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances","Patio/Deck, Porch, Rooftop Deck, Rooftop Deck","Cement Board, Stucco",,,"Cash Sale, Conventional, FHA, VA",,"Tile, Wood, Carpet",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate",2 / Attached,Yes,Central Gas,59.0,97.0,,,"High Ceiling, Island Kitchen, Prewired for Alarm System, Fire/Smoke Alarm",,15x13,"Lot 2, Blk 1 of Bingham Court",Exclusive Right to Sell/Lease,434995.0,For Sale,17x12,,Subdivision Lot,,31847948 (HAR),,$ 50 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower, Whirlpool/Tub",,,,,,,,Yes,,,,,,No/$0,Gas Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,"Living/Dining Combo, Living Area - 2nd Floor",,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x9,,,"Public Sewer, Public Water",2016   / Builder,77007.0,59602877e2bac828e009b9cf,,,
8,2017-06-28,2017-06-28,1,449995,449995,0,0.0,0.0,http://www.har.com/1005-bingham-2/sale_52612214,,17x13,,13x12,,11x9,,,Automatic Gate,1005 Bingham #2,,,2.44,2.7,"$2,106",$1.54,"$442,794",,$207.14,,"2,225",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances",Patio/Deck,"Cement Board, Stucco",,,"Cash Sale, Conventional",,"Tile, Wood",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate, Auto Garage Door Opener",2 / Attached,No,"Central Gas, Zoned",48.0,105.0,,,"High Ceiling, Island Kitchen, Fire/Smoke Alarm",493G,15x13,"Lot 2, Blk 1 of Bingham Court",Exclusive Right to Sell/Lease,449995.0,For Sale,17x12,,Subdivision Lot,,52612214 (HAR),,$ 25 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x6,,,"Public Sewer, Public Water",2016   / Builder,77007.0,5933372ee2bac83b34e52ff9,,,
9,2017-06-28,2017-06-28,1,449995,449995,0,0.0,0.0,http://www.har.com/1005-bingham-3/sale_16180206,,17x13,,13x12,,11x9,,,Automatic Gate,1005 Bingham #3,,,2.44,2.7,"$2,106",$1.54,"$442,794",,$207.14,,"2,225",,,3 Full  & 1Half Bath(s),,3 Bedroom(s),,"2,551237(m_)  /Builder",,Houston,,"Electric Dryer Connections, Gas Dryer Connections, Washer Connections",,"Central Electric, Zoned",Granite,Harris County,,,17x10,Yes,Yes,"Attic Fan, Attic Vents, Ceiling Fans, Energy Star Appliances",Patio/Deck,"Cement Board, Stucco",,,"Cash Sale, Conventional",,"Tile, Wood",,Slab on Builders Pier,West,,,"Additional Parking, Auto Driveway Gate, Auto Garage Door Opener",2 / Attached,No,"Central Gas, Zoned",48.0,105.0,,,"High Ceiling, Prewired for Alarm System, Fire/Smoke Alarm",493G,15x13,"Lot 3, blk 1 of Bingham Court",Exclusive Right to Sell/Lease,449995.0,For Sale,17x12,,Subdivision Lot,,16180206 (HAR),,$ 25 / MONTHLY,Washington East/Sabine,Washington East/Sabine,,"Double Sinks, Master Bath + Separate Shower",,,,,,,,Yes,,,,,,No/$0,Electric Oven,,,,,0.0,No,,Single Family,,Gas Cooktop,Composition,Living Area - 2nd Floor,,TX,,4,,Contemporary/Modern,Bingham Court,,2.66,,,,,,,,,,,,,,,Utility Room 2nd Floor,8x6,,,"Public Sewer, Public Water",2016   / Builder,77007.0,5933372ee2bac83b34e52ffa,,,
