,Unnamed: 0,Page_Link,Page_Address,Price,Price_Change,Sys_Date,flood_plain_type
6047,6047,http://www.har.com/307-ennis/sale_99594469,"307 Ennis, Houston, TX 77003",199900,None,08/26/2017,none
6049,6049,http://www.har.com/1260-w-23rd-st/sale_15179726,"1260 W 23rd St, Houston, TX 77008",364900,None,08/26/2017,100 year
6051,6051,http://www.har.com/1117-w-16th-st/sale_21129244,"1117 W 16th St, Houston, TX 77008",444500,None,08/26/2017,100 year
6052,6052,http://www.har.com/3203-n-main-st/sale_83185119,"3203 N Main St, Houston, TX 77009",499999,None,08/26/2017,none
6068,6068,http://www.har.com/4514-w-43rd-st/sale_25780821,"4514 W 43rd St, Houston, TX 77092",200000,None,08/27/2017,none
6078,6078,http://www.har.com/757-33rd/sale_1664361,"757 33rd, Houston, TX 77022",314000,None,08/28/2017,500 year
6089,6089,http://www.har.com/1018-patterson-street/sale_68025537,"1018 Patterson Street, Houston, TX 77007",429000,None,08/29/2017,none
6090,6090,http://www.har.com/1020-patterson-street/sale_53955410,"1020 Patterson Street, Houston, TX 77007",434000,None,08/29/2017,none
6091,6091,http://www.har.com/4125-eigel/sale_45598894,"4125 Eigel, Houston, TX 77007",499000,None,08/29/2017,none
6092,6092,http://www.har.com/4123-eigel-street/sale_33353481,"4123 Eigel Street, Houston, TX 77007",499000,None,08/29/2017,none
6102,6102,http://www.har.com/1324-birdsall/sale_37818442,"1324 Birdsall, Houston, TX 77007",379000,None,08/30/2017,none
6127,6127,http://www.har.com/5127-elysian/sale_54906634,"5127 Elysian, Houston, TX 77009",319000,None,08/31/2017,none
6129,6129,http://www.har.com/5123-elysian/sale_83933068,"5123 Elysian, Houston, TX 77009",339000,None,08/31/2017,none
6130,6130,http://www.har.com/828-ennis-street/sale_55597410,"828 Ennis Street, Houston, TX 77003",375000,None,08/31/2017,none
6131,6131,http://www.har.com/2818-truxillo-st/sale_89439844,"2818 Truxillo St, Houston, TX 77004",398000,None,08/31/2017,none
6132,6132,http://www.har.com/2940-rusk-street/sale_59991429,"2940 Rusk Street, Houston, TX 77003",400000,None,08/31/2017,none
6133,6133,http://www.har.com/607-jewett-st/sale_69993463,"607 Jewett St, Houston, TX 77009",410000,None,08/31/2017,none
6134,6134,http://www.har.com/605-jewett-st/sale_92690212,"605 Jewett St, Houston, TX 77009",430000,None,08/31/2017,none
6135,6135,http://www.har.com/603-jewett-st/sale_80670550,"603 Jewett St, Houston, TX 77009",430000,None,08/31/2017,none
6139,6139,http://www.har.com/328-asbury-ter/sale_67415804,"328 Asbury Ter, Houston, TX 77007",489900,None,08/31/2017,none
6140,6140,http://www.har.com/1009-st-charles-street/sale_69883633,"1009 St. Charles Street, Houston, TX 77003",500000,None,08/31/2017,none
6184,6184,http://www.har.com/4901-chapman-st/sale_23839542,"4901 Chapman St, Houston, TX 77009",129900,None,09/01/2017,none
6186,6186,http://www.har.com/128-amundsen-st/sale_33992004,"128 Amundsen St, Houston, TX 77009",210000,None,09/01/2017,none
6187,6187,http://www.har.com/4103-bethel-blv--na/sale_75903703,"4103 Bethel Blv  NA, Houston, TX 77092",229000,None,09/01/2017,100 year
6188,6188,http://www.har.com/3805-ella-blv/sale_90567676,"3805 Ella Blv, Houston, TX 77018",259900,None,09/01/2017,none
6189,6189,http://www.har.com/4617-brady-st/sale_10679912,"4617 Brady St, HOUSTON, TX 77011",290000,None,09/01/2017,none
6192,6192,http://www.har.com/5305-nett-st--c/sale_59351846,"5305 Nett St  C, Houston, TX 77007",349000,None,09/01/2017,none
6193,6193,http://www.har.com/2344-commerce/sale_44080325,"2344 Commerce, Houston, TX 77003",349900,None,09/01/2017,none
6196,6196,http://www.har.com/3306-baer-st/sale_60722748,"3306 Baer St, Houston, TX 77020",359000,None,09/01/2017,none
